entry,at,order
"The player ""AnonyZZZ @ BU96Oldlbq"" quits the game with a stack of 0.",2023-12-31T18:39:38.481Z,170404797848100
"-- ending hand #64 --",2023-12-31T18:39:29.461Z,170404796946101
"""HC3 @ 6fs2b5y3k4"" collected 440 from pot with Three of a Kind, 2's (combination: 2♥, 2♦, 2♣, K♥, J♦)",2023-12-31T18:39:29.461Z,170404796946100
"River: 8♥, 9♠, J♦, 2♣ [K♥]",2023-12-31T18:39:25.458Z,170404796545800
"Turn: 8♥, 9♠, J♦ [2♣]",2023-12-31T18:39:21.453Z,170404796145300
"Flop:  [8♥, 9♠, J♦]",2023-12-31T18:39:17.401Z,170404795740100
"""AnonyZZZ @ BU96Oldlbq"" shows a 7♥, K♦.",2023-12-31T18:39:13.392Z,170404795339201
"""HC3 @ 6fs2b5y3k4"" shows a 2♥, 2♦.",2023-12-31T18:39:13.392Z,170404795339200
"""AnonyZZZ @ BU96Oldlbq"" calls 220 and go all in",2023-12-31T18:39:12.553Z,170404795255300
"""HC3 @ 6fs2b5y3k4"" raises to 220",2023-12-31T18:39:09.545Z,170404794954500
"""AnonyZZZ @ BU96Oldlbq"" posts a big blind of 20",2023-12-31T18:39:05.783Z,170404794578307
"""HC3 @ 6fs2b5y3k4"" posts a small blind of 10",2023-12-31T18:39:05.783Z,170404794578306
"Your hand is 7♥, K♦",2023-12-31T18:39:05.783Z,170404794578305
"Player stacks: #7 ""HC3 @ 6fs2b5y3k4"" (1034) | #9 ""AnonyZZZ @ BU96Oldlbq"" (220)",2023-12-31T18:39:05.783Z,170404794578303
"-- starting hand #64 (id: yphdmqva8hm5)  (No Limit Texas Hold'em) (dealer: ""HC3 @ 6fs2b5y3k4"") --",2023-12-31T18:39:05.783Z,170404794578302
"The player ""Stu-phone @ HWSTvsaq5F"" quits the game with a stack of 1562.",2023-12-31T18:39:05.783Z,170404794578301
"The player ""遗物无疑 @ KBIwhPQuUg"" quits the game with a stack of 1352.",2023-12-31T18:39:05.783Z,170404794578300
"""AnonyZZZ @ BU96Oldlbq"" shows a A♠, 6♥.",2023-12-31T18:39:03.907Z,170404794390700
"""HC3 @ 6fs2b5y3k4"" shows a 4♣, 3♦.",2023-12-31T18:39:03.729Z,170404794372900
"""遗物无疑 @ KBIwhPQuUg"" shows a J♣, K♦.",2023-12-31T18:39:02.422Z,170404794242200
"-- ending hand #63 --",2023-12-31T18:39:00.777Z,170404794077702
"""HC3 @ 6fs2b5y3k4"" collected 20 from pot",2023-12-31T18:39:00.777Z,170404794077701
"Uncalled bet of 10 returned to ""HC3 @ 6fs2b5y3k4""",2023-12-31T18:39:00.777Z,170404794077700
"""遗物无疑 @ KBIwhPQuUg"" folds",2023-12-31T18:38:59.902Z,170404793990200
"""Stu-phone @ HWSTvsaq5F"" folds",2023-12-31T18:38:59.035Z,170404793903500
"""AnonyZZZ @ BU96Oldlbq"" folds",2023-12-31T18:38:58.212Z,170404793821200
"""HC3 @ 6fs2b5y3k4"" posts a big blind of 20",2023-12-31T18:38:40.113Z,170404792011308
"""遗物无疑 @ KBIwhPQuUg"" posts a small blind of 10",2023-12-31T18:38:40.113Z,170404792011307
"Your hand is A♠, 6♥",2023-12-31T18:38:40.113Z,170404792011306
"Player stacks: #2 ""Stu-phone @ HWSTvsaq5F"" (1562) | #6 ""遗物无疑 @ KBIwhPQuUg"" (1362) | #7 ""HC3 @ 6fs2b5y3k4"" (1024) | #9 ""AnonyZZZ @ BU96Oldlbq"" (220)",2023-12-31T18:38:40.113Z,170404792011302
"-- starting hand #63 (id: 9r8jtafqkeun)  (No Limit Texas Hold'em) (dead button) --",2023-12-31T18:38:40.113Z,170404792011301
"The player ""UL @ EyF8Dy3tOI"" quits the game with a stack of 11832.",2023-12-31T18:38:40.113Z,170404792011300
"""遗物无疑 @ KBIwhPQuUg"" shows a 2♦, K♠.",2023-12-31T18:38:33.251Z,170404791325100
"""AnonyZZZ @ BU96Oldlbq"" shows a 9♠, 8♥.",2023-12-31T18:38:32.899Z,170404791289900
"-- ending hand #62 --",2023-12-31T18:38:30.908Z,170404791090801
"""Stu-phone @ HWSTvsaq5F"" collected 1562 from pot with Flush, Jh High (combination: J♥, 9♥, 7♥, 6♥, 5♥)",2023-12-31T18:38:30.908Z,170404791090800
"River: Q♠, 7♥, 4♣, 9♥ [5♥]",2023-12-31T18:38:26.903Z,170404790690300
"Turn: Q♠, 7♥, 4♣ [9♥]",2023-12-31T18:38:22.864Z,170404790286400
"Flop:  [Q♠, 7♥, 4♣]",2023-12-31T18:38:18.859Z,170404789885900
"""HC3 @ 6fs2b5y3k4"" shows a 10♥, J♦.",2023-12-31T18:38:14.855Z,170404789485501
"""Stu-phone @ HWSTvsaq5F"" shows a J♥, 6♥.",2023-12-31T18:38:14.855Z,170404789485500
"""HC3 @ 6fs2b5y3k4"" raises to 766",2023-12-31T18:38:14.000Z,170404789400000
"""遗物无疑 @ KBIwhPQuUg"" folds",2023-12-31T18:38:08.578Z,170404788857800
"""UL @ EyF8Dy3tOI"" folds",2023-12-31T18:38:07.559Z,170404788755900
"""Stu-phone @ HWSTvsaq5F"" raises to 766 and go all in",2023-12-31T18:37:59.234Z,170404787923400
"""AnonyZZZ @ BU96Oldlbq"" folds",2023-12-31T18:37:55.407Z,170404787540700
"""HC3 @ 6fs2b5y3k4"" calls 20",2023-12-31T18:37:52.289Z,170404787228900
"""遗物无疑 @ KBIwhPQuUg"" posts a big blind of 20",2023-12-31T18:37:43.345Z,170404786334510
"""UL @ EyF8Dy3tOI"" posts a small blind of 10",2023-12-31T18:37:43.345Z,170404786334509
"Your hand is 9♠, 8♥",2023-12-31T18:37:43.345Z,170404786334508
"Player stacks: #2 ""Stu-phone @ HWSTvsaq5F"" (766) | #5 ""UL @ EyF8Dy3tOI"" (11842) | #6 ""遗物无疑 @ KBIwhPQuUg"" (1382) | #7 ""HC3 @ 6fs2b5y3k4"" (1790) | #9 ""AnonyZZZ @ BU96Oldlbq"" (220)",2023-12-31T18:37:43.345Z,170404786334503
"-- starting hand #62 (id: lelqdkrvidi3)  (No Limit Texas Hold'em) (dead button) --",2023-12-31T18:37:43.345Z,170404786334502
"The player ""潘大帅 @ mCcr85adzw"" quits the game with a stack of 0.",2023-12-31T18:37:43.345Z,170404786334501
"The player ""Po4 ：（ @ oZrEs0aO5K"" quits the game with a stack of 0.",2023-12-31T18:37:43.345Z,170404786334500
"""HC3 @ 6fs2b5y3k4"" shows a 8♦, 4♣.",2023-12-31T18:37:39.375Z,170404785937500
"""遗物无疑 @ KBIwhPQuUg"" shows a J♣, A♠.",2023-12-31T18:37:36.206Z,170404785620600
"""AnonyZZZ @ BU96Oldlbq"" shows a 3♣, 3♥.",2023-12-31T18:37:35.391Z,170404785539100
"-- ending hand #61 --",2023-12-31T18:37:34.001Z,170404785400103
"""UL @ EyF8Dy3tOI"" collected 6648 from pot with Two Pair, Q's & 9's (combination: Q♦, Q♥, 9♣, 9♠, 10♣)",2023-12-31T18:37:34.001Z,170404785400102
